식당(ID),식당명,주차가능여부,반려동물입장가능여부,다국어메뉴판제공여부
4735,삼각집보신탕,N,N,N
4736,중앙설렁탕,N,N,N
4737,광복수제비,N,N,N
4738,선미집,N,N,N
4739,대궁삼계탕,N,N,N
4741,풍미식당,N,N,N
4742,선미집,N,N,N
4744,동해숯불갈비,N,N,N
4745,일송돼지목살숯불구이,N,N,N
4746,사거리만두,N,N,N
4747,부광숯불갈비,Y,N,Y
4748,은하갈비,N,N,Y
4749,톰(TOM),N,N,N
4750,카페온기,N,N,N
4751,밀양생선구이,N,N,N
4752,정운포차,Y,N,N
4753,크라운사거리,N,N,N
4754,부영커피숍,N,N,N
4755,초원복국,N,N,Y
4758,선산반점,N,N,N
4759,청진동아구찜,N,N,Y
4760,울산식당,N,N,N
4762,원조바다장어산곰장어,N,N,N
4763,정선생,N,N,N
4764,진주복국집,N,N,N
4765,해물왕,Y,N,Y
4766,개성상황버섯삼계탕,N,N,Y
4767,진주숯불갈비마을,N,N,N
4768,삼영다방,N,N,N
4769,명다방,N,N,N
4771,상가식당,N,N,N
4772,라온,N,N,Y
4773,강씨횟집,N,N,N
4774,제일횟집,N,N,Y
4775,궁중삼계탕,N,N,Y
4777,팔송식당,N,N,Y
4778,수현집밥,N,N,N
4779,밀양시장횟집,N,N,N
4781,사상횟집,N,N,N
4784,조이박 꽃도새기(수영점),Y,N,N
4785,옛날선미숯불갈비,Y,N,Y
4790,구포집 복국,N,N,N
4791,현대횟집,N,N,N
4793,까페바람종,Y,Y,Y
4794,카페동백,Y,Y,Y
4795,장군멸치회촌,Y,N,Y
5250,백화곱창센타9호,N,N,N
5252,이가,N,N,N
5253,바다에서 건진 한상,Y,N,N
5254,코모도호텔블란서식양식당,N,N,N
5255,꼬모1979(como1979),N,N,N
5256,대중식당,N,N,N
5257,치요남치킨(부산초량점),N,N,N
5258,남해회초밥,N,N,N
5259,비비큐올리브치킨(초량점),N,N,N
5260,현대식당,N,N,N
5261,하동식당,N,N,N
5264,소문난식당,N,N,N
5265,우기네..,N,N,N
5266,네네치킨(초량점),N,N,Y
5267,충무코다리,N,N,N
5268,영심이왕족발(수정점),N,N,Y
5269,기장멸치국수,N,N,Y
5270,프리포트,N,N,N
5271,옥천횟집,N,N,Y
5272,시골추어탕,N,N,Y
5273,흥부네식당,N,N,N
5274,갯마을식당갯마을식당,N,N,N
5275,길림성,N,N,Y
5276,술고당(서면점),N,N,Y
5277,부산양곱창,N,N,N
5278,옛날국수,N,N,Y
5279,일광돼지국밥,N,N,N
5280,차밭골,N,N,Y
5281,황금바다장어구이,N,N,N
5282,찬미치킨(못골점),N,N,Y
5283,상하이궁,Y,N,N
5284,느낌 식당,N,N,N
5287,모리구이,N,N,N
5289,시대다방,N,N,N
5290,처갓집양념치킨(연제점),N,N,Y
5296,아망드,N,N,N
5297,야간매점,N,N,N
5299,더진국수육국밥(부산 사상구청점),N,N,N
5300,영재식당,N,N,N
5301,부흥반점,N,N,N
5302,보원정,N,N,N
5303,동해횟집,N,N,Y
5304,태양다방,N,N,N
5847,부광식당,N,N,N
5848,할매집,N,N,N
5849,부두노조연안여객휴게실,N,N,N
5850,물꽁식당,N,N,N
5851,고담,Y,N,N
5852,부산맛집불닭발효팅불닭,Y,N,N
5853,유정식당,N,N,Y
5854,고봉,N,N,N
5856,오소리순대,Y,N,Y
5857,노마진포차,N,Y,Y
5858,소우닭계,N,N,N
5859,수산야시장,N,N,N
5860,태화통닭,N,N,Y
5861,향촌식당,N,N,N
5862,후생식당,N,N,N
5863,범일동서울깍두기,N,N,N
5864,골목맛집풍미물회,N,N,N
5865,금정식당,N,N,N
5866,거제식당,N,N,N
5867,새마을식당,N,N,N
5868,대박난유황생오리,N,N,N
5869,안정들깨삼계탕,N,N,N
5870,일미집,N,N,N
5871,급행장 양곱창,Y,N,N
5872,식분면서,N,N,N
5873,산정,N,N,N
5874,아는오빠,N,N,Y
5875,시골밥상,N,N,N
5876,시골맛추어탕,N,N,N
5877,당감국수,N,N,N
5878,툴스돈카츠(당감점),N,N,Y
5879,조씨집,Y,N,N
5880,호메이켄라멘,N,N,N
5881,진주생숯불갈비,N,N,Y
5882,개미식당,N,N,N
5884,장어나라,N,N,N
5885,보생관,N,N,N
5886,초원커피숍,N,N,N
5888,부산사하지역자활센터 맛조이(JOY),N,N,N
5889,느티나무식당,Y,N,Y
5890,삼식이,N,N,N
5891,진다방,N,N,N
5892,부산집,Y,N,N
5893,고향집,N,N,N
5894,합천집,Y,N,N
5895,첫동네끝집,N,N,N
5896,은행나무집,N,N,N
5897,남해옹달샘집,N,N,N
5898,금호장,N,N,N
5899,기장집,Y,N,N
5900,의령촌집,N,N,N
5901,사계절집,N,N,N
5902,함지박,N,N,N
5903,월성집,Y,N,Y
5904,천하대장군집,N,N,N
5905,대게마당(구서점),Y,N,N
5906,홍기와집,Y,N,N
5914,백조커피숍,N,N,N
5915,밀당커피숍,N,N,N
5917,등대이모,N,N,N
5918,남풍횟집,N,N,Y
5919,해운대갈비,N,N,Y
5920,용당횟집,N,N,N
5921,성림횟집,N,N,Y
5922,동백횟집,Y,N,Y
5923,장모님콩나물국밥,N,N,N
5924,대가횟집,Y,N,Y
6581,박민호간장게장,N,N,N
6641,누나야,N,N,N
6642,남마담집,N,N,Y
6643,고갈비할매집,N,N,Y
6644,남포식당,N,N,N
6645,금호식당,N,N,N
6646,본가우락식당,N,N,N
6647,올리브스파게티,N,N,N
6648,LA돈까스,N,N,Y
6649,커피가게18-1,N,N,N
6650,동해물회,N,N,Y
6651,록정,N,N,N
6652,자갈치해물포차,N,N,N
6653,금복용호통닭,N,N,N
6654,대영그릴,N,N,N
6655,삼미집,N,N,N
6656,엄마손,N,N,N
6657,금맥,N,N,N
6658,맥주를구한피자,N,N,N
6659,김삿갓 돼지국밥,N,N,Y
6663,산호집,N,N,N
6664,대학식당,N,N,Y
6666,파로(동대부민점),N,N,N
6668,수정집,N,N,N
6669,김천집,N,N,N
6670,실비식당,N,N,N
6671,초량통닭,N,N,N
6672,등나무집,N,N,N
6673,부산식당,N,N,N
6674,골목집,N,N,N
6675,유일식당,N,N,N
6676,흥안상회,N,N,N
6677,삼익집,N,N,N
6678,대구집,N,N,N
6679,가야정,N,N,N
6680,진사부,N,N,N
6682,88돼지갈비,N,N,Y
6683,조방숯불갈비,N,N,N
6684,날마다좋은집,N,N,Y
6685,장춘족발,N,N,N
6686,수식당,N,N,Y
6687,인정국물떡볶이(동구점),N,N,N
6688,하가네매운등갈비,N,N,N
6689,대게천국,N,N,Y
6690,부페시즈,N,N,N
6691,할매집,N,N,N
6692,한정식두리반,N,N,N
6693,물금횟집,N,N,N
6694,서울식당,N,N,N
6695,고성식당,N,N,N
6696,선우집,N,N,N
6697,구롱집,N,N,N
6698,대구횟집,N,N,N
6699,양지아구찜,N,N,Y
6700,제일반점,N,N,N
6701,영선불고기,N,N,Y
6702,동해집,N,N,N
6703,삼오정,N,N,N
6704,THE얼큰샤브칼국수,N,N,N
6705,삼포식당,N,N,N
6706,남항횟집,N,N,Y
6708,담비,N,N,N
6709,고을산채,N,N,Y
6710,빠나미,N,N,N
6711,송송쭈꾸미(가야점),N,N,N
6712,길가온삼계탕,N,N,Y
6713,대서양식당,Y,N,Y
6714,인제분식,N,N,N
6715,일출횟집,N,N,N
6716,진주복집,N,N,N
6717,백년가마솥통닭,N,N,Y
6718,동해물회,N,N,Y
6720,돼지국밥집,N,N,N
6721,이치방(전포점),N,N,N
6722,초읍갈비,N,N,N
6723,원 초량갈비,N,N,Y
6725,육장갈비(부산서면점),N,N,N
6726,달리는꼬꼬,N,N,N
6727,대송회초밥,N,N,Y
6728,부자부자횟집,N,N,N
6729,장터돼지국밥,N,N,N
6731,복돌네통닭,N,N,N
6732,제일분식,N,N,N
6733,부부식당,N,N,N
6734,울산식당,N,N,N
6735,진영곱창,N,N,N
6736,아리산,N,N,N
6737,개미식당,N,N,N
6738,서울만두,N,N,N
6739,부전밀면칼국수,N,N,N
6740,골목집,Y,N,Y
6741,할매집,N,N,N
6742,돼자뷰,N,N,Y
6743,청진동감자탕,N,N,Y
6744,독일제과,N,N,N
6745,행운,N,N,N
6746,박가네삼계탕,N,N,N
6747,한상,N,N,N
6749,시골보리밥 돼지갈비,N,N,Y
6751,튀김집,N,N,N
6752,진이네조삼포,N,N,N
6753,솔다방,N,N,N
6757,우리마을,Y,N,Y
6759,성화식당,N,N,N
6760,황제타운,N,N,N
6761,달기식당,N,N,N
6762,조은커피숍,N,N,N
6763,청,N,N,N
6764,철마집,N,N,N
6765,청기와집,Y,N,Y
6766,명성집,N,N,N
6767,녹산집,N,N,N
6768,설궁,N,N,N
