음식이미지(ID),식당(ID),식당명,음식이미지(URL)
22,269956,외식일번가,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2300976_1638842680_menu.png
23,269956,외식일번가,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2300973_1638842681_menu.png
85,270054,푸주옥(부산점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1384864_1638843357_menu.png
86,270054,푸주옥(부산점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1384865_1638843357_menu.png
87,270054,푸주옥(부산점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1384866_1638843357_menu.png
88,270054,푸주옥(부산점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1384867_1638843357_menu.png
89,270054,푸주옥(부산점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1384868_1638843357_menu.png
90,270054,푸주옥(부산점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1384869_1638843357_menu.png
153,290811,동원양곱창12호,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2835903_1638844992_menu.png
167,314351,박가부대(부산하단점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2314951_1638845061_menu.png
188,339612,이디야커피(동아대점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2473722_1638846183_menu.JPG
73,367179,강원삼계탕,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1118784_1638843272_menu.png
74,367179,강원삼계탕,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1118786_1638843272_menu.png
50,367213,아이온파티,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1117684_1638842686_menu.jpg
143,397699,뉴리틀인디아,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2583140_1638844036_menu.png
159,398842,스타벅스(하단중앙점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2578606_1638845054_menu.png
28,399407,백양가든,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/760827_1638842682_menu.png
29,399407,백양가든,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/760908_1638842682_menu.png
30,399407,백양가든,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/760910_1638842682_menu.png
31,399407,백양가든,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/760911_1638842683_menu.png
69,429572,바다호호복국,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2925707_1638843254_menu.png
70,429572,바다호호복국,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2925710_1638843254_menu.png
71,429572,바다호호복국,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2925711_1638843254_menu.png
72,429572,바다호호복국,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2925714_1638843254_menu.png
98,467977,소향갈비탕소불고기전골,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1699204_1638843359_menu.png
91,519682,명송,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1253214_1638843358_menu.png
92,519682,명송,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1253216_1638843358_menu.png
93,519682,명송,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1253218_1638843358_menu.png
114,522166,수복식당,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2890577_1638843640_menu.png
171,534649,써브웨이(동아대점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2694584_1638845092_menu.png
139,544938,동래통닭(범일점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2702473_1638843931_menu.png
192,557935,해강횟집,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2476245_1638846185_menu.jpg
165,561663,토스트럭(부산범일점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2306819_1638845059_menu.png
158,610213,배스킨라빈스(부산괴정점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2783721_1638845053_menu.png
