식당(ID),식당위도,식당경도
5921,35.2998,129.2595
5922,35.2897,129.2574
5923,35.3289,129.2849
5924,35.2982,129.2596
6581,35.2188,129.2271
6641,35.1116,129.0374
6642,35.0994,129.032
6643,35.0994,129.032
6644,35.0973,129.0336
6645,35.0971,129.0312
6646,35.1053,129.0357
6647,35.1007,129.0312
6648,35.1041,129.0351
6649,35.1044,129.0352
6650,35.1016,129.0354
6651,35.1038,129.0246
6652,35.0991,129.0256
6653,35.1012,129.0262
6654,35.1011,129.0256
6655,35.102,129.029
6656,35.0987,129.031
6657,35.1016,129.0264
6658,35.1113,129.0197
6659,35.1022,129.0178
6663,35.0657,129.0145
6664,35.1014,129.0185
6666,35.1026,129.0197
6668,35.103,129.0188
6669,35.1188,129.0403
6670,35.1257,129.0443
6671,35.1189,129.04
6672,35.1357,129.0575
6673,35.1396,129.0591
6674,35.1365,129.058
6675,35.1308,129.0512
6676,35.1334,129.0546
6677,35.1312,129.0545
6678,35.1358,129.0456
6679,35.1396,129.0562
6680,35.1275,129.0455
6682,35.1281,129.0456
6683,35.1379,129.0591
6684,35.1292,129.0477
6685,35.1392,129.0599
6686,35.1225,129.0425
6687,35.1364,129.056
6688,35.119,129.0396
6689,35.1396,129.061
6690,35.1129,129.0391
6691,35.1367,129.0558
6692,35.114,129.04
6693,35.1283,129.0464
6694,35.1302,129.0531
6695,35.1325,129.0537
6696,35.1334,129.0546
6697,35.1302,129.0531
6698,35.1189,129.04
6699,35.1183,129.0407
6700,35.1198,129.0367
6701,35.0901,129.0428
6702,35.0846,129.0412
6703,35.0925,129.038
6704,35.0684,129.0658
6705,35.0896,129.0401
6706,35.0895,129.0374
6708,35.0928,129.0416
6709,35.0934,129.0448
6710,35.0899,129.0382
6711,35.1539,129.0371
6712,35.159,129.0565
6713,35.1586,129.0561
6714,35.1465,129.0185
6715,35.1591,129.0609
6716,35.1596,129.0617
6717,35.1593,129.0581
6718,35.1579,129.0614
6720,35.1607,129.0637
6721,35.1608,129.0638
6722,35.1813,129.0486
6723,35.1812,129.0489
6725,35.1552,129.0574
6726,35.1707,129.0504
6727,35.1451,129.0599
6728,35.1574,129.0486
6729,35.1543,129.0364
6731,35.1636,129.0419
6732,35.1534,129.062
6733,35.1534,129.062
6734,35.1534,129.062
6735,35.1467,129.0612
6736,35.145,129.0608
6737,35.1486,129.0537
6738,35.1467,129.0612
6739,35.1563,129.0514
6740,35.1476,129.0583
6741,35.1516,129.0576
6742,35.1564,129.0575
6743,35.1546,129.0568
6744,35.1543,129.0367
6745,35.1763,129.0736
6746,35.2122,129.0657
6747,35.212,129.0661
6749,35.1429,129.0658
6751,35.1297,129.091
6752,35.2117,129.0138
6753,35.2026,128.9963
6757,35.1602,129.1901
6759,35.2257,129.1474
6760,35.1035,128.9599
6761,35.0859,129.0054
6762,35.1034,128.9626
6763,35.0916,128.9767
6764,35.2448,129.0584
6765,35.243,129.0557
6766,35.2437,129.0559
6767,35.2448,129.0553
6768,35.252,129.057
6769,35.2517,129.0529
6770,35.2517,129.052
6771,35.2495,129.0569
6772,35.2519,129.0545
6773,35.2518,129.0534
6774,35.251,129.056
6775,35.2439,129.0553
6776,35.2433,129.0558
6777,35.251,129.0569
6778,35.2518,129.0541
6779,35.2448,129.0553
6780,35.2435,129.0561
6781,35.2482,129.0595
6782,35.2468,129.0627
6783,35.2508,129.0535
6784,35.2518,129.0515
6785,35.251,129.0563
6786,35.2514,129.0562
6787,35.2518,129.0539
6788,35.2451,129.0996
6789,35.2482,129.0904
6790,35.2308,129.0855
6791,35.2372,129.0831
6792,35.2397,129.0868
6793,35.2581,129.0911
6794,35.2145,129.1046
6795,35.2255,129.0915
6796,35.2428,129.0562
6797,35.2354,129.0587
6798,35.1128,128.9313
6799,35.1129,128.9318
6800,35.2168,128.937
6801,35.123,128.8957
6802,35.1878,129.0821
6803,35.1737,129.0952
6814,35.196,128.9876
6815,35.1737,128.9846
6816,35.1673,128.9829
6817,35.1546,128.9909
6819,35.1724,128.9817
6820,35.1559,128.9831
6821,35.2171,129.2261
6822,35.2181,129.2275
6823,35.218,129.227
6824,35.3289,129.2819
6825,35.3295,129.2833
6826,35.3272,129.2828
7976,35.1106,129.0393
7977,35.0965,129.0282
7978,35.1012,129.0372
7979,35.1076,129.0333
7980,35.1005,129.025
7981,35.0966,129.0283
7982,35.1068,129.0372
7983,35.1061,129.0356
7984,35.1051,129.0348
7986,35.1041,129.035
7987,35.1036,129.0352
7988,35.103,129.0354
